id,name,role,country,basePrice,style,photoUrl,status,soldTo,soldPrice
92,Josh Hazlewood,Bowler,Australia,2.0,Fast,https://documents.iplt20.com/ipl/IPLHeadshot2025/36.png,unsold,,0
93,Yash Dayal,Bowler,India,0.75,Fast,https://documents.iplt20.com/ipl/IPLHeadshot2025/978.png,unsold,,0
94,Jofra Archer,Bowler,England,2.0,Fast,https://documents.iplt20.com/ipl/IPLHeadshot2025/181.png,unsold,,0
95,Sandeep Sharma,Bowler,India,1.0,Swing,https://documents.iplt20.com/ipl/IPLHeadshot2024/220.png,unsold,,0
96,Nandre Burger,Bowler,South Africa,1.0,Fast,https://documents.iplt20.com/ipl/IPLHeadshot2024/2806.png,unsold,,0
97,Arshdeep Singh,Bowler,India,1.5,Fast,https://documents.iplt20.com/ipl/IPLHeadshot2025/125.png,unsold,,0
98,Deepak Chahar,Bowler,India,1.5,Swing,https://documents.iplt20.com/ipl/IPLHeadshot2025/91.png,unsold,,0
99,Avesh Khan,Bowler,India,1.0,Fast,https://documents.iplt20.com/ipl/IPLHeadshot2025/109.png,unsold,,0
100,Digvesh Singh,Bowler,India,0.75,Fast,https://documents.iplt20.com/ipl/IPLHeadshot2025/3565.png,unsold,,0
101,Akash Singh,Bowler,India,0.75,Fast,https://documents.iplt20.com/ipl/IPLHeadshot2025/535.png,unsold,,0
102,Varun Chakaravarthy,Bowler,India,1.5,Spin,https://documents.iplt20.com/ipl/IPLHeadshot2025/140.png,unsold,,0
103,Ishant Sharma,Bowler,India,1.0,Fast,https://documents.iplt20.com/ipl/IPLHeadshot2025/50.png,unsold,,0
104,Prasidh Krishna,Bowler,India,1.5,Fast,https://documents.iplt20.com/ipl/IPLHeadshot2025/150.png,unsold,,0
105,T. Natarajan,Bowler,India,1.5,Fast,https://documents.iplt20.com/ipl/IPLHeadshot2025/224.png,unsold,,0
106,Kuldeep Yadav,Bowler,India,1.5,Spin,https://documents.iplt20.com/ipl/IPLHeadshot2025/14.png,unsold,,0
107,Lungisani Ngidi,Bowler,South Africa,1.5,Fast,https://documents.iplt20.com/ipl/IPLHeadshot2023/99.png,unsold,,0
108,Noor Ahmad,Bowler,Afghanistan,1.0,Spin,https://documents.iplt20.com/ipl/IPLHeadshot2025/975.png,unsold,,0
109,Khaleel Ahmed,Bowler,India,1.0,Fast,https://documents.iplt20.com/ipl/IPLHeadshot2025/8.png,unsold,,0
